Date,SO
2002-08-21,17.11
2002-08-22,17.38
2002-08-23,17.00
2002-08-26,17.21
2002-08-27,17.05
2002-08-28,17.14
2002-08-29,17.01
2002-08-30,17.35
2002-09-03,16.93
2002-09-04,16.89
2002-09-05,17.01
2002-09-06,17.11
2002-09-09,17.16
2002-09-10,16.69
2002-09-11,16.53
2002-09-12,16.08
2002-09-13,16.26
2002-09-16,16.35
2002-09-17,16.05
2002-09-18,16.92
2002-09-19,16.60
2002-09-20,16.94
2002-09-23,16.61
2002-09-24,16.66
2002-09-25,17.08
2002-09-26,17.32
2002-09-27,17.12
2002-09-30,17.24
2002-10-01,17.48
2002-10-02,17.27
2002-10-03,17.38
2002-10-04,17.18
2002-10-07,17.59
2002-10-08,17.41
2002-10-09,16.18
2002-10-10,17.30
2002-10-11,17.29
2002-10-14,17.33
2002-10-15,17.37
2002-10-16,16.84
2002-10-17,17.33
2002-10-18,17.29
2002-10-21,18.08
2002-10-22,17.50
2002-10-23,17.70
2002-10-24,17.68
2002-10-25,18.22
2002-10-28,18.48
2002-10-29,18.13
2002-10-30,18.30
2002-10-31,17.99
2002-11-01,17.86
2002-11-04,17.96
2002-11-05,17.80
2002-11-06,17.87
2002-11-07,17.25
2002-11-08,16.59
2002-11-11,16.66
2002-11-12,15.25
2002-11-13,15.43
2002-11-14,15.56
2002-11-15,16.03
2002-11-18,15.89
2002-11-19,15.79
2002-11-20,15.72
2002-11-21,15.63
2002-11-22,16.08
2002-11-25,16.27
2002-11-26,15.93
2002-11-27,15.83
2002-11-29,15.85
2002-12-02,15.45
2002-12-03,15.97
2002-12-04,15.98
2002-12-05,15.97
2002-12-06,16.06
2002-12-09,16.53
2002-12-10,16.70
2002-12-11,16.76
2002-12-12,16.87
2002-12-13,16.87
2002-12-16,16.87
2002-12-17,16.99
2002-12-18,17.10
2002-12-19,17.35
2002-12-20,17.48
2002-12-23,17.27
2002-12-24,17.45
2002-12-26,17.54
2002-12-27,17.24
2002-12-30,17.28
2002-12-31,17.20
2003-01-02,17.55
2003-01-03,17.63
2003-01-06,18.66
2003-01-07,18.00
2003-01-08,17.91
2003-01-09,17.91
2003-01-10,17.88
2003-01-13,17.66
2003-01-14,17.62
2003-01-15,17.63
2003-01-16,17.42
2003-01-17,17.26
2003-01-21,17.20
2003-01-22,17.35
2003-01-23,17.52
2003-01-24,17.10
2003-01-27,16.85
2003-01-28,17.40
2003-01-29,17.57
2003-01-30,17.18
2003-01-31,17.27
2003-02-03,17.67
2003-02-04,17.44
2003-02-05,17.19
2003-02-06,17.47
2003-02-07,17.38
2003-02-10,17.78
2003-02-11,17.58
2003-02-12,16.99
2003-02-13,17.03
2003-02-14,17.32
2003-02-18,17.37
2003-02-19,17.34
2003-02-20,17.27
2003-02-21,17.33
2003-02-24,17.26
2003-02-25,17.40
2003-02-26,17.27
2003-02-27,17.32
2003-02-28,17.29
2003-03-03,17.41
2003-03-04,17.29
2003-03-05,17.52
2003-03-06,17.51
2003-03-07,17.43
2003-03-10,17.17
2003-03-11,17.24
2003-03-12,17.36
2003-03-13,17.42
2003-03-14,17.38
2003-03-17,17.69
2003-03-18,17.76
2003-03-19,17.65
2003-03-20,17.69
2003-03-21,17.92
2003-03-24,17.73
2003-03-25,17.90
2003-03-26,17.53
2003-03-27,17.46
2003-03-28,17.54
2003-03-31,17.43
2003-04-01,17.50
2003-04-02,17.43
2003-04-03,17.28
2003-04-04,17.42
2003-04-07,17.32
2003-04-08,17.27
2003-04-09,17.16
2003-04-10,17.20
2003-04-11,17.13
2003-04-14,17.46
2003-04-15,17.62
2003-04-16,17.51
2003-04-17,17.62
2003-04-21,17.48
2003-04-22,17.66
2003-04-23,17.56
2003-04-24,17.65
2003-04-25,17.67
2003-04-28,17.84
2003-04-29,17.67
2003-04-30,17.83
2003-05-01,17.68
2003-05-02,17.76
2003-05-05,17.85
2003-05-06,17.72
2003-05-07,17.78
2003-05-08,17.80
2003-05-09,18.03
2003-05-12,18.12
2003-05-13,18.04
2003-05-14,17.98
2003-05-15,18.02
2003-05-16,18.38
2003-05-19,18.21
2003-05-20,18.45
2003-05-21,18.27
2003-05-22,18.45
2003-05-23,19.38
2003-05-27,19.53
2003-05-28,19.58
2003-05-29,19.12
2003-05-30,19.53
2003-06-02,19.48
2003-06-03,19.58
2003-06-04,19.73
2003-06-05,19.20
2003-06-06,19.11
2003-06-09,19.11
2003-06-10,18.97
2003-06-11,19.30
2003-06-12,19.50
2003-06-13,19.25
2003-06-16,19.53
2003-06-17,19.51
2003-06-18,19.56
2003-06-19,19.60
2003-06-20,19.61
2003-06-23,19.54
2003-06-24,19.43
2003-06-25,19.22
2003-06-26,19.55
2003-06-27,19.37
2003-06-30,19.33
2003-07-01,18.94
2003-07-02,18.81
2003-07-03,18.68
2003-07-07,18.80
2003-07-08,18.72
2003-07-09,18.41
2003-07-10,17.86
2003-07-11,18.17
2003-07-14,17.93
2003-07-15,17.65
2003-07-16,17.35
2003-07-17,17.53
2003-07-18,18.03
2003-07-21,17.56
2003-07-22,17.96
2003-07-23,17.99
2003-07-24,18.00
2003-07-25,17.96
2003-07-28,17.76
2003-07-29,17.67
2003-07-30,17.80
2003-07-31,17.86
2003-08-01,17.66
2003-08-04,17.73
2003-08-05,17.43
2003-08-06,17.72
2003-08-07,17.77
2003-08-08,17.78
2003-08-11,17.66
2003-08-12,17.83
2003-08-13,17.71
2003-08-14,17.73
2003-08-15,17.66
2003-08-18,17.60
2003-08-19,17.58
2003-08-20,17.58
2003-08-21,17.58
2003-08-22,17.51
2003-08-25,17.67
2003-08-26,17.67
2003-08-27,17.90
2003-08-28,17.87
2003-08-29,17.82
2003-09-02,18.05
2003-09-03,18.14
2003-09-04,18.16
2003-09-05,18.19
2003-09-08,18.49
2003-09-09,18.34
2003-09-10,18.39
2003-09-11,18.23
2003-09-12,18.30
2003-09-15,18.16
2003-09-16,18.30
2003-09-17,18.13
2003-09-18,18.39
2003-09-19,18.37
2003-09-22,18.10
2003-09-23,18.25
2003-09-24,18.03
2003-09-25,18.18
2003-09-26,18.46
2003-09-29,18.69
2003-09-30,18.43
2003-10-01,18.59
2003-10-02,18.63
2003-10-03,18.53
2003-10-06,18.49
2003-10-07,18.47
2003-10-08,18.41
2003-10-09,18.59
2003-10-10,18.59
2003-10-13,18.47
2003-10-14,18.59
2003-10-15,18.36
2003-10-16,18.47
2003-10-17,18.43
2003-10-20,18.60
2003-10-21,18.94
2003-10-22,18.91
2003-10-23,19.03
2003-10-24,19.04
2003-10-27,19.03
2003-10-28,19.09
2003-10-29,19.05
2003-10-30,19.08
2003-10-31,18.93
2003-11-03,19.07
2003-11-04,18.94
2003-11-05,18.88
2003-11-06,18.78
2003-11-07,18.66
2003-11-10,18.73
2003-11-11,18.58
2003-11-12,18.58
2003-11-13,18.62
2003-11-14,18.62
2003-11-17,18.53
2003-11-18,18.23
2003-11-19,18.48
2003-11-20,18.27
2003-11-21,18.20
2003-11-24,18.32
2003-11-25,18.43
2003-11-26,18.63
2003-11-28,18.59
2003-12-01,18.73
2003-12-02,18.78
2003-12-03,18.87
2003-12-04,18.86
2003-12-05,18.91
2003-12-08,18.84
2003-12-09,18.72
2003-12-10,18.66
2003-12-11,18.73
2003-12-12,18.84
2003-12-15,18.80
2003-12-16,18.77
2003-12-17,18.89
2003-12-18,18.93
2003-12-19,19.01
2003-12-22,19.16
2003-12-23,19.20
2003-12-24,19.10
2003-12-26,19.05
2003-12-29,19.12
2003-12-30,19.23
2003-12-31,19.22
2004-01-02,19.10
2004-01-05,19.10
2004-01-06,19.11
2004-01-07,19.06
2004-01-08,19.06
2004-01-09,18.96
2004-01-12,18.95
2004-01-13,18.89
2004-01-14,18.90
2004-01-15,18.84
2004-01-16,18.70
2004-01-20,18.85
2004-01-21,19.10
2004-01-22,19.11
2004-01-23,19.21
2004-01-26,19.13
2004-01-27,19.19
2004-01-28,19.27
2004-01-29,19.29
2004-01-30,19.15
2004-02-02,19.04
2004-02-03,18.96
2004-02-04,18.84
2004-02-05,18.70
2004-02-06,18.79
2004-02-09,18.77
2004-02-10,18.92
2004-02-11,18.91
2004-02-12,19.01
2004-02-13,18.96
2004-02-17,19.02
2004-02-18,19.22
2004-02-19,19.29
2004-02-20,19.17
2004-02-23,19.09
2004-02-24,19.06
2004-02-25,19.15
2004-02-26,19.31
2004-02-27,19.49
2004-03-01,19.55
2004-03-02,19.48
2004-03-03,19.49
2004-03-04,19.54
2004-03-05,19.69
2004-03-08,19.63
2004-03-09,19.70
2004-03-10,19.49
2004-03-11,19.35
2004-03-12,19.38
2004-03-15,19.51
2004-03-16,19.56
2004-03-17,19.84
2004-03-18,19.58
2004-03-19,19.38
2004-03-22,19.20
2004-03-23,19.24
2004-03-24,19.25
2004-03-25,19.38
2004-03-26,19.53
2004-03-29,19.59
2004-03-30,19.64
2004-03-31,19.60
2004-04-01,19.66
2004-04-02,19.51
2004-04-05,19.45
2004-04-06,19.44
2004-04-07,19.34
2004-04-08,19.13
2004-04-12,18.90
2004-04-13,18.77
2004-04-14,18.71
2004-04-15,18.83
2004-04-16,18.99
2004-04-19,18.80
2004-04-20,18.64
2004-04-21,18.67
2004-04-22,18.77
2004-04-23,18.79
2004-04-26,18.95
2004-04-27,18.85
2004-04-28,18.70
2004-04-29,18.66
2004-04-30,18.71
2004-05-03,18.78
2004-05-04,18.83
2004-05-05,18.70
2004-05-06,18.82
2004-05-07,18.29
2004-05-10,18.22
2004-05-11,18.21
2004-05-12,18.12
2004-05-13,18.18
2004-05-14,18.38
2004-05-17,18.21
2004-05-18,18.38
2004-05-19,18.30
2004-05-20,18.31
2004-05-21,18.28
2004-05-24,18.40
2004-05-25,18.80
2004-05-26,18.72
2004-05-27,18.90
2004-05-28,18.81
2004-06-01,18.84
2004-06-02,19.00
2004-06-03,18.88
2004-06-04,18.96
2004-06-07,19.05
2004-06-08,18.90
2004-06-09,18.67
2004-06-10,18.79
2004-06-14,18.66
2004-06-15,18.81
2004-06-16,18.77
2004-06-17,18.79
2004-06-18,18.84
2004-06-21,18.96
2004-06-22,18.94
2004-06-23,19.00
2004-06-24,18.96
2004-06-25,18.90
2004-06-28,18.98
2004-06-29,18.81
2004-06-30,18.96
2004-07-01,18.77
2004-07-02,18.88
2004-07-06,18.82
2004-07-07,18.83
2004-07-08,18.85
2004-07-09,18.83
2004-07-12,18.85
2004-07-13,18.80
2004-07-14,19.00
2004-07-15,19.09
2004-07-16,19.19
2004-07-19,19.37
2004-07-20,19.44
2004-07-21,19.28
2004-07-22,19.13
2004-07-23,19.11
2004-07-26,19.12
2004-07-27,19.16
2004-07-28,19.19
2004-07-29,19.19
2004-07-30,19.28
2004-08-02,19.37
2004-08-03,19.37
2004-08-04,19.49
2004-08-05,19.33
2004-08-06,19.66
2004-08-09,19.58
2004-08-10,19.61
2004-08-11,19.66
2004-08-12,19.72
2004-08-13,19.64
2004-08-16,19.68
2004-08-17,19.59
2004-08-18,19.71
2004-08-19,19.60
2004-08-20,19.53
2004-08-23,19.56
2004-08-24,19.63
2004-08-25,19.72
2004-08-26,19.75
2004-08-27,19.76
2004-08-30,19.76
2004-08-31,19.99
2004-09-01,19.90
2004-09-02,20.05
2004-09-03,20.07
2004-09-07,20.18
2004-09-08,19.98
2004-09-09,19.95
2004-09-10,19.99
2004-09-13,19.89
2004-09-14,19.78
2004-09-15,19.78
2004-09-16,20.00
2004-09-17,20.04
2004-09-20,19.84
2004-09-21,20.03
2004-09-22,19.87
2004-09-23,19.67
2004-09-24,19.66
2004-09-27,19.74
2004-09-28,19.91
2004-09-29,19.71
2004-09-30,19.74
2004-10-01,19.91
2004-10-04,19.98
2004-10-05,19.91
2004-10-06,20.02
2004-10-07,19.87
2004-10-08,20.16
2004-10-11,20.10
2004-10-12,20.21
2004-10-13,19.92
2004-10-14,19.85
2004-10-15,19.95
2004-10-18,19.79
2004-10-19,19.72
2004-10-20,20.16
2004-10-21,20.80
2004-10-22,20.81
2004-10-25,20.87
2004-10-26,21.09
2004-10-27,21.03
2004-10-28,20.85
2004-10-29,21.04
2004-11-01,21.07
2004-11-02,20.75
2004-11-03,21.13
2004-11-04,21.73
2004-11-05,21.60
2004-11-08,21.78
2004-11-09,21.71
2004-11-10,21.71
2004-11-11,21.88
2004-11-12,22.08
2004-11-15,21.98
2004-11-16,22.00
2004-11-17,21.76
2004-11-18,21.86
2004-11-19,21.84
2004-11-22,22.12
2004-11-23,22.14
2004-11-24,22.39
2004-11-26,22.51
2004-11-29,22.26
2004-11-30,21.84
2004-12-01,21.84
2004-12-02,21.49
2004-12-03,21.72
2004-12-06,21.92
2004-12-07,21.79
2004-12-08,21.70
2004-12-09,21.76
2004-12-10,21.78
2004-12-13,22.04
2004-12-14,21.94
2004-12-15,21.92
2004-12-16,22.11
2004-12-17,21.98
2004-12-20,22.24
2004-12-21,22.41
2004-12-22,22.52
2004-12-23,22.49
2004-12-27,22.26
2004-12-28,22.40
2004-12-29,22.38
2004-12-30,22.59
2004-12-31,22.32
2005-01-03,22.02
2005-01-04,22.00
2005-01-05,21.87
2005-01-06,21.73
2005-01-07,21.83
2005-01-10,22.00
2005-01-11,21.98
2005-01-12,21.92
2005-01-13,21.85
2005-01-14,21.94
2005-01-18,22.11
2005-01-19,21.96
2005-01-20,21.91
2005-01-21,21.90
2005-01-24,22.20
2005-01-25,21.78
2005-01-26,22.10
2005-01-27,22.30
2005-01-28,22.31
2005-01-31,22.49
2005-02-01,22.70
